@relation '4590TestLast-weka.filters.unsupervised.attribute.Remove-R1,5,9,11-13'

@attribute prec {FALSE,TRUE}
@attribute tmax numeric
@attribute tmin numeric
@attribute lectivo {Si}
@attribute fest {V,F,L}
@attribute hora {07:00,09:30,09:45,10:15,12:00,12:45,13:00,13:45,14:15,14:30,15:00,16:30,17:15,18:00,18:15,19:15,20:15,20:30,21:00,21:15,21:30,22:15,23:30,08:30,08:45,09:00,10:00,11:45,13:15,13:30,14:00,14:45,15:15,15:30,15:45,16:15,16:45,17:00,17:30,19:30,19:45,20:45,22:45,23:45,07:15,08:00,08:15,09:15,10:30,10:45,11:00,11:15,11:30,12:15,12:30,16:00,17:45,18:30,18:45,19:00,20:00,21:45,22:00,22:30,23:15,23:00,07:30,07:45}
@attribute carga numeric

@data
FALSE,20,11,Si,F,19:30,4
FALSE,20,11,Si,F,19:45,2
FALSE,20,11,Si,F,20:45,3
FALSE,20,11,Si,F,23:30,2
FALSE,23,10,Si,F,07:00,6
FALSE,23,10,Si,F,07:15,2
FALSE,23,10,Si,F,09:15,2
FALSE,23,10,Si,F,10:00,2
FALSE,23,10,Si,F,10:15,2
FALSE,23,10,Si,F,11:00,2
FALSE,23,10,Si,F,11:30,2
FALSE,23,10,Si,F,11:45,3
FALSE,23,10,Si,F,12:00,0
FALSE,23,10,Si,F,12:15,3
FALSE,23,10,Si,F,13:15,3
FALSE,23,10,Si,F,14:00,8
FALSE,23,10,Si,F,14:15,0
FALSE,23,10,Si,F,14:30,3
FALSE,23,10,Si,F,16:00,4
FALSE,23,10,Si,F,16:15,2
FALSE,23,10,Si,F,16:30,42
FALSE,23,10,Si,F,16:45,0
FALSE,23,10,Si,F,17:30,3
FALSE,23,10,Si,F,17:45,2
FALSE,23,10,Si,F,18:00,2
FALSE,23,10,Si,F,18:15,3
FALSE,23,10,Si,F,18:30,0
FALSE,23,10,Si,F,21:15,2
FALSE,23,10,Si,F,22:15,2
FALSE,23,10,Si,F,22:45,2
FALSE,26,13,Si,F,07:15,3
FALSE,26,13,Si,F,09:00,2
FALSE,26,13,Si,F,09:15,2
FALSE,26,13,Si,F,09:30,0
FALSE,26,13,Si,F,10:30,2
FALSE,26,13,Si,F,10:45,2
FALSE,26,13,Si,F,12:15,2
FALSE,26,13,Si,F,12:45,8
FALSE,26,13,Si,F,13:00,2
FALSE,26,13,Si,F,13:15,3
FALSE,26,13,Si,F,13:30,3
FALSE,26,13,Si,F,13:45,0
FALSE,26,13,Si,F,14:00,2
FALSE,26,13,Si,F,14:45,3
FALSE,26,13,Si,F,15:00,3
FALSE,26,13,Si,F,15:30,2
FALSE,26,13,Si,F,16:00,2
FALSE,26,13,Si,F,16:15,2
FALSE,26,13,Si,F,16:30,2
FALSE,26,13,Si,F,16:45,3
FALSE,26,13,Si,F,17:15,3
FALSE,26,13,Si,F,17:30,3
FALSE,26,13,Si,F,17:45,3
FALSE,26,13,Si,F,18:00,0
FALSE,26,13,Si,F,18:30,2
FALSE,26,13,Si,F,19:15,2
FALSE,26,13,Si,F,19:30,4
FALSE,26,13,Si,F,20:30,2
FALSE,26,13,Si,F,21:30,2
FALSE,26,13,Si,F,22:00,2
FALSE,26,13,Si,F,22:15,2
FALSE,26,13,Si,F,22:30,0
FALSE,26,13,Si,F,23:15,2
FALSE,26,13,Si,F,23:30,2
FALSE,29,16,Si,L,07:00,2
FALSE,29,16,Si,L,07:30,3
FALSE,29,16,Si,L,07:45,6
FALSE,29,16,Si,L,08:00,0
FALSE,29,16,Si,L,08:30,2
FALSE,29,16,Si,L,08:45,4
FALSE,29,16,Si,L,09:00,1
FALSE,29,16,Si,L,09:15,2
FALSE,29,16,Si,L,09:30,4
FALSE,29,16,Si,L,09:45,2
FALSE,29,16,Si,L,10:00,3
FALSE,29,16,Si,L,10:15,5
FALSE,29,16,Si,L,10:30,4
FALSE,29,16,Si,L,10:45,4
FALSE,29,16,Si,L,11:00,10
FALSE,29,16,Si,L,11:15,5
FALSE,29,16,Si,L,11:30,4
FALSE,29,16,Si,L,11:45,6
FALSE,29,16,Si,L,12:00,5
FALSE,29,16,Si,L,12:15,4
FALSE,29,16,Si,L,12:30,6
FALSE,29,16,Si,L,12:45,4
FALSE,29,16,Si,L,13:00,5
FALSE,29,16,Si,L,13:15,4
FALSE,29,16,Si,L,13:30,11
FALSE,29,16,Si,L,13:45,8
FALSE,29,16,Si,L,14:00,8
FALSE,29,16,Si,L,14:15,11
FALSE,29,16,Si,L,14:30,5
FALSE,29,16,Si,L,14:45,5
FALSE,29,16,Si,L,15:00,5
FALSE,29,16,Si,L,15:15,6
FALSE,29,16,Si,L,15:30,7
FALSE,29,16,Si,L,15:45,3
FALSE,29,16,Si,L,16:00,7
FALSE,29,16,Si,L,16:15,7
FALSE,29,16,Si,L,16:30,6
FALSE,29,16,Si,L,16:45,7
FALSE,29,16,Si,L,17:00,7
FALSE,29,16,Si,L,17:15,7
FALSE,29,16,Si,L,17:30,12
FALSE,29,16,Si,L,17:45,6
FALSE,29,16,Si,L,18:00,10
FALSE,29,16,Si,L,18:15,12
FALSE,29,16,Si,L,18:30,10
FALSE,29,16,Si,L,18:45,9
FALSE,29,16,Si,L,19:00,10
FALSE,29,16,Si,L,19:15,13
FALSE,29,16,Si,L,19:30,9
FALSE,29,16,Si,L,19:45,11
FALSE,29,16,Si,L,20:00,15
FALSE,29,16,Si,L,20:15,13
FALSE,29,16,Si,L,20:30,11
FALSE,29,16,Si,L,20:45,13
FALSE,29,16,Si,L,21:00,7
FALSE,29,16,Si,L,21:15,10
FALSE,29,16,Si,L,21:30,6
FALSE,29,16,Si,L,21:45,5
FALSE,29,16,Si,L,22:00,4
FALSE,29,16,Si,L,22:15,5
FALSE,29,16,Si,L,22:30,3
FALSE,29,16,Si,L,22:45,5
FALSE,29,16,Si,L,23:00,0
FALSE,29,16,Si,L,23:15,2
FALSE,29,16,Si,L,23:30,2
FALSE,29,16,Si,L,23:45,2
TRUE,28,17,Si,L,07:15,3
TRUE,28,17,Si,L,07:30,0
TRUE,28,17,Si,L,08:00,2
TRUE,28,17,Si,L,08:15,4
TRUE,28,17,Si,L,08:30,2
TRUE,28,17,Si,L,09:00,3
TRUE,28,17,Si,L,09:15,4
TRUE,28,17,Si,L,09:30,3
TRUE,28,17,Si,L,09:45,3
TRUE,28,17,Si,L,10:00,3
TRUE,28,17,Si,L,10:15,3
TRUE,28,17,Si,L,10:30,4
TRUE,28,17,Si,L,10:45,4
TRUE,28,17,Si,L,11:00,3
TRUE,28,17,Si,L,11:15,4
TRUE,28,17,Si,L,11:30,5
TRUE,28,17,Si,L,11:45,7
TRUE,28,17,Si,L,12:00,5
TRUE,28,17,Si,L,12:15,5
TRUE,28,17,Si,L,12:30,6
TRUE,28,17,Si,L,12:45,4
TRUE,28,17,Si,L,13:00,8
TRUE,28,17,Si,L,13:15,6
TRUE,28,17,Si,L,13:30,11
TRUE,28,17,Si,L,13:45,12
TRUE,28,17,Si,L,14:00,12
TRUE,28,17,Si,L,14:15,12
TRUE,28,17,Si,L,14:30,7
TRUE,28,17,Si,L,14:45,5
TRUE,28,17,Si,L,15:00,7
TRUE,28,17,Si,L,15:15,10
TRUE,28,17,Si,L,15:30,7
TRUE,28,17,Si,L,15:45,5
TRUE,28,17,Si,L,16:00,3
TRUE,28,17,Si,L,16:15,6
TRUE,28,17,Si,L,16:30,6
TRUE,28,17,Si,L,16:45,4
TRUE,28,17,Si,L,17:00,7
TRUE,28,17,Si,L,17:15,11
TRUE,28,17,Si,L,17:30,9
TRUE,28,17,Si,L,17:45,11
TRUE,28,17,Si,L,18:00,9
TRUE,28,17,Si,L,18:15,10
TRUE,28,17,Si,L,18:30,11
TRUE,28,17,Si,L,18:45,10
TRUE,28,17,Si,L,19:00,11
TRUE,28,17,Si,L,19:15,8
TRUE,28,17,Si,L,19:30,12
TRUE,28,17,Si,L,19:45,13
TRUE,28,17,Si,L,20:00,12
TRUE,28,17,Si,L,20:15,13
TRUE,28,17,Si,L,20:30,10
TRUE,28,17,Si,L,20:45,12
TRUE,28,17,Si,L,21:00,9
TRUE,28,17,Si,L,21:15,7
TRUE,28,17,Si,L,21:30,3
TRUE,28,17,Si,L,21:45,6
TRUE,28,17,Si,L,22:00,4
TRUE,28,17,Si,L,22:15,6
TRUE,28,17,Si,L,22:30,3
TRUE,28,17,Si,L,22:45,4
TRUE,28,17,Si,L,23:00,2
TRUE,28,17,Si,L,23:30,4
TRUE,28,17,Si,L,23:45,2
FALSE,20,12,Si,L,07:15,3
FALSE,20,12,Si,L,07:30,3
FALSE,20,12,Si,L,07:45,0
FALSE,20,12,Si,L,08:00,2
FALSE,20,12,Si,L,08:30,4
FALSE,20,12,Si,L,08:45,2
FALSE,20,12,Si,L,09:00,3
FALSE,20,12,Si,L,09:15,3
FALSE,20,12,Si,L,09:30,3
FALSE,20,12,Si,L,09:45,4
FALSE,20,12,Si,L,10:00,3
FALSE,20,12,Si,L,10:15,5
FALSE,20,12,Si,L,10:30,5
FALSE,20,12,Si,L,10:45,5
FALSE,20,12,Si,L,11:00,5
FALSE,20,12,Si,L,11:15,3
FALSE,20,12,Si,L,11:30,4
FALSE,20,12,Si,L,11:45,6
FALSE,20,12,Si,L,12:00,5
FALSE,20,12,Si,L,12:15,4
FALSE,20,12,Si,L,12:30,5
FALSE,20,12,Si,L,12:45,4
FALSE,20,12,Si,L,13:00,7
FALSE,20,12,Si,L,13:15,4
FALSE,20,12,Si,L,13:30,7
FALSE,20,12,Si,L,13:45,9
FALSE,20,12,Si,L,14:00,9
FALSE,20,12,Si,L,14:15,8
FALSE,20,12,Si,L,14:30,8
FALSE,20,12,Si,L,14:45,7
FALSE,20,12,Si,L,15:00,6
FALSE,20,12,Si,L,15:15,6
FALSE,20,12,Si,L,15:30,7
FALSE,20,12,Si,L,15:45,4
FALSE,20,12,Si,L,16:00,5
FALSE,20,12,Si,L,16:15,11
FALSE,20,12,Si,L,16:30,6
FALSE,20,12,Si,L,16:45,8
FALSE,20,12,Si,L,17:00,10
FALSE,20,12,Si,L,17:15,8
FALSE,20,12,Si,L,17:30,13
FALSE,20,12,Si,L,17:45,9
FALSE,20,12,Si,L,18:00,7
FALSE,20,12,Si,L,18:15,14
FALSE,20,12,Si,L,18:30,7
FALSE,20,12,Si,L,18:45,12
FALSE,20,12,Si,L,19:00,9
FALSE,20,12,Si,L,19:15,8
FALSE,20,12,Si,L,19:30,14
FALSE,20,12,Si,L,19:45,8
FALSE,20,12,Si,L,20:00,11
FALSE,20,12,Si,L,20:15,12
FALSE,20,12,Si,L,20:30,13
FALSE,20,12,Si,L,20:45,7
FALSE,20,12,Si,L,21:00,11
FALSE,20,12,Si,L,21:15,7
FALSE,20,12,Si,L,21:30,7
FALSE,20,12,Si,L,21:45,7
FALSE,20,12,Si,L,22:00,5
FALSE,20,12,Si,L,22:15,3
FALSE,20,12,Si,L,22:30,3
FALSE,20,12,Si,L,22:45,4
FALSE,20,12,Si,L,23:00,3
FALSE,20,12,Si,L,23:15,3
FALSE,20,12,Si,L,23:30,6
FALSE,20,12,Si,L,23:45,3
FALSE,23,10,Si,V,07:00,2
FALSE,23,10,Si,V,07:15,3
FALSE,23,10,Si,V,07:30,3
FALSE,23,10,Si,V,07:45,3
FALSE,23,10,Si,V,08:00,2
FALSE,23,10,Si,V,08:45,3
FALSE,23,10,Si,V,09:00,3
FALSE,23,10,Si,V,09:15,4
FALSE,23,10,Si,V,09:30,3
FALSE,23,10,Si,V,09:45,4
FALSE,23,10,Si,V,10:00,4
FALSE,23,10,Si,V,10:15,4
FALSE,23,10,Si,V,10:30,2
FALSE,23,10,Si,V,10:45,4
FALSE,23,10,Si,V,11:00,6
FALSE,23,10,Si,V,11:15,6
FALSE,23,10,Si,V,11:30,4
FALSE,23,10,Si,V,11:45,4
FALSE,23,10,Si,V,12:00,5
FALSE,23,10,Si,V,12:15,5
FALSE,23,10,Si,V,12:30,4
FALSE,23,10,Si,V,12:45,4
FALSE,23,10,Si,V,13:00,6
FALSE,23,10,Si,V,13:15,4
FALSE,23,10,Si,V,13:30,7
FALSE,23,10,Si,V,13:45,12
FALSE,23,10,Si,V,14:00,7
FALSE,23,10,Si,V,14:15,16
FALSE,23,10,Si,V,14:30,19
FALSE,23,10,Si,V,14:45,10
FALSE,23,10,Si,V,15:00,18
FALSE,23,10,Si,V,15:15,18
FALSE,23,10,Si,V,15:30,7
FALSE,23,10,Si,V,15:45,14
FALSE,23,10,Si,V,16:00,9
FALSE,23,10,Si,V,16:15,9
FALSE,23,10,Si,V,16:30,11
FALSE,23,10,Si,V,16:45,9
FALSE,23,10,Si,V,17:00,9
FALSE,23,10,Si,V,17:15,7
FALSE,23,10,Si,V,17:30,7
FALSE,23,10,Si,V,17:45,4
FALSE,23,10,Si,V,18:00,6
FALSE,23,10,Si,V,18:15,5
FALSE,23,10,Si,V,18:30,3
FALSE,23,10,Si,V,18:45,3
FALSE,23,10,Si,V,19:00,6
FALSE,23,10,Si,V,19:15,3
FALSE,23,10,Si,V,19:30,4
FALSE,23,10,Si,V,19:45,4
FALSE,23,10,Si,V,20:00,4
FALSE,23,10,Si,V,20:15,3
FALSE,23,10,Si,V,20:30,3
FALSE,23,10,Si,V,20:45,3
FALSE,23,10,Si,V,21:00,2
FALSE,23,10,Si,V,21:30,4
FALSE,23,10,Si,V,21:45,3
FALSE,23,10,Si,V,22:00,3
FALSE,23,10,Si,V,22:15,3
FALSE,23,10,Si,V,22:30,0
FALSE,23,10,Si,V,23:00,3
FALSE,23,10,Si,V,23:15,2
FALSE,23,10,Si,V,23:30,0
FALSE,23,10,Si,V,23:45,2
FALSE,26,11,Si,F,07:00,2
FALSE,26,11,Si,F,07:15,3
FALSE,26,11,Si,F,09:30,2
FALSE,26,11,Si,F,09:45,2
FALSE,26,11,Si,F,10:00,3
FALSE,26,11,Si,F,10:15,3
FALSE,26,11,Si,F,10:30,0
FALSE,26,11,Si,F,10:45,2
FALSE,26,11,Si,F,11:30,8
FALSE,26,11,Si,F,11:45,3
FALSE,26,11,Si,F,12:15,3
FALSE,26,11,Si,F,12:30,2
FALSE,26,11,Si,F,12:45,3
FALSE,26,11,Si,F,13:45,2
FALSE,26,11,Si,F,14:00,3
FALSE,26,11,Si,F,14:15,2
FALSE,26,11,Si,F,14:30,3
FALSE,26,11,Si,F,14:45,2
FALSE,26,11,Si,F,15:00,8
FALSE,26,11,Si,F,15:15,2
FALSE,26,11,Si,F,15:30,2
FALSE,26,11,Si,F,15:45,2
FALSE,26,11,Si,F,16:45,2
FALSE,26,11,Si,F,17:00,0
FALSE,26,11,Si,F,17:15,2
FALSE,26,11,Si,F,17:30,3
FALSE,26,11,Si,F,18:15,4
FALSE,26,11,Si,F,18:30,0
FALSE,26,11,Si,F,18:45,3
FALSE,26,11,Si,F,19:00,3
FALSE,26,11,Si,F,19:30,2
FALSE,26,11,Si,F,19:45,2
FALSE,26,11,Si,F,22:15,2
FALSE,26,11,Si,F,23:15,2
FALSE,26,11,Si,F,23:45,2
FALSE,26,16,Si,F,07:15,2
FALSE,26,16,Si,F,07:30,2
FALSE,26,16,Si,F,09:30,2
FALSE,26,16,Si,F,10:00,2
FALSE,26,16,Si,F,10:45,2
FALSE,26,16,Si,F,11:15,3
FALSE,26,16,Si,F,11:30,0
FALSE,26,16,Si,F,11:45,4
FALSE,26,16,Si,F,12:00,0
FALSE,26,16,Si,F,12:15,2
FALSE,26,16,Si,F,12:30,4
FALSE,26,16,Si,F,13:00,3
FALSE,26,16,Si,F,13:15,3
FALSE,26,16,Si,F,13:30,2
FALSE,26,16,Si,F,14:00,3
FALSE,26,16,Si,F,14:45,6
FALSE,26,16,Si,F,15:00,0
FALSE,26,16,Si,F,15:15,2
FALSE,26,16,Si,F,16:00,2
FALSE,26,16,Si,F,16:15,2
FALSE,26,16,Si,F,16:30,4
FALSE,26,16,Si,F,16:45,4
FALSE,26,16,Si,F,17:00,0
FALSE,26,16,Si,F,17:30,8
FALSE,26,16,Si,F,17:45,3
FALSE,26,16,Si,F,19:00,6
FALSE,26,16,Si,F,19:15,0
FALSE,26,16,Si,F,20:00,2
FALSE,26,16,Si,F,20:15,3
FALSE,26,16,Si,F,20:45,2
FALSE,26,16,Si,F,21:00,2
FALSE,26,16,Si,F,21:15,2
FALSE,26,16,Si,F,21:30,2
FALSE,26,16,Si,F,22:45,3
FALSE,26,16,Si,F,23:00,0
FALSE,28,15,Si,L,07:00,0
FALSE,28,15,Si,L,07:15,4
FALSE,28,15,Si,L,07:45,2
FALSE,28,15,Si,L,08:00,0
FALSE,28,15,Si,L,08:15,3
FALSE,28,15,Si,L,08:30,3
FALSE,28,15,Si,L,08:45,3
FALSE,28,15,Si,L,09:00,0
FALSE,28,15,Si,L,09:15,2
FALSE,28,15,Si,L,09:30,2
FALSE,28,15,Si,L,09:45,7
FALSE,28,15,Si,L,10:00,4
FALSE,28,15,Si,L,10:15,6
FALSE,28,15,Si,L,10:30,5
FALSE,28,15,Si,L,10:45,4
FALSE,28,15,Si,L,11:00,6
FALSE,28,15,Si,L,11:15,4
FALSE,28,15,Si,L,11:30,6
FALSE,28,15,Si,L,11:45,6
FALSE,28,15,Si,L,12:00,5
FALSE,28,15,Si,L,12:15,3
FALSE,28,15,Si,L,12:30,5
FALSE,28,15,Si,L,12:45,6
FALSE,28,15,Si,L,13:00,4
FALSE,28,15,Si,L,13:15,8
FALSE,28,15,Si,L,13:30,6
FALSE,28,15,Si,L,13:45,10
FALSE,28,15,Si,L,14:00,8
FALSE,28,15,Si,L,14:15,10
FALSE,28,15,Si,L,14:30,7
FALSE,28,15,Si,L,14:45,7
FALSE,28,15,Si,L,15:00,5
FALSE,28,15,Si,L,15:15,7
FALSE,28,15,Si,L,15:30,7
FALSE,28,15,Si,L,15:45,5
FALSE,28,15,Si,L,16:00,3
FALSE,28,15,Si,L,16:15,7
FALSE,28,15,Si,L,16:30,9
FALSE,28,15,Si,L,16:45,6
FALSE,28,15,Si,L,17:00,7
FALSE,28,15,Si,L,17:15,8
FALSE,28,15,Si,L,17:30,11
FALSE,28,15,Si,L,17:45,5
FALSE,28,15,Si,L,18:00,10
FALSE,28,15,Si,L,18:15,13
FALSE,28,15,Si,L,18:30,8
FALSE,28,15,Si,L,18:45,14
FALSE,28,15,Si,L,19:00,9
FALSE,28,15,Si,L,19:15,12
FALSE,28,15,Si,L,19:30,9
FALSE,28,15,Si,L,19:45,9
FALSE,28,15,Si,L,20:00,10
FALSE,28,15,Si,L,20:15,10
FALSE,28,15,Si,L,20:30,10
FALSE,28,15,Si,L,20:45,7
FALSE,28,15,Si,L,21:00,9
FALSE,28,15,Si,L,21:15,5
FALSE,28,15,Si,L,21:30,6
FALSE,28,15,Si,L,21:45,7
FALSE,28,15,Si,L,22:00,7
FALSE,28,15,Si,L,22:15,5
FALSE,28,15,Si,L,22:30,3
FALSE,28,15,Si,L,22:45,3
FALSE,28,15,Si,L,23:00,2
FALSE,28,15,Si,L,23:15,3
FALSE,28,15,Si,L,23:30,3
FALSE,28,15,Si,L,23:45,2
FALSE,31,18,Si,L,07:15,3
FALSE,31,18,Si,L,07:30,2
FALSE,31,18,Si,L,07:45,2
FALSE,31,18,Si,L,08:00,2
FALSE,31,18,Si,L,08:15,2
FALSE,31,18,Si,L,08:30,3
FALSE,31,18,Si,L,08:45,3
FALSE,31,18,Si,L,09:00,3
FALSE,31,18,Si,L,09:15,2
FALSE,31,18,Si,L,09:30,3
FALSE,31,18,Si,L,09:45,4
FALSE,31,18,Si,L,10:00,4
FALSE,31,18,Si,L,10:15,3
FALSE,31,18,Si,L,10:30,5
FALSE,31,18,Si,L,10:45,9
FALSE,31,18,Si,L,11:00,5
FALSE,31,18,Si,L,11:15,7
FALSE,31,18,Si,L,11:30,4
FALSE,31,18,Si,L,11:45,5
FALSE,31,18,Si,L,12:00,6
FALSE,31,18,Si,L,12:15,5
FALSE,31,18,Si,L,12:30,4
FALSE,31,18,Si,L,12:45,6
FALSE,31,18,Si,L,13:00,6
FALSE,31,18,Si,L,13:15,7
FALSE,31,18,Si,L,13:30,6
FALSE,31,18,Si,L,13:45,5
FALSE,31,18,Si,L,14:00,11
FALSE,31,18,Si,L,14:15,11
FALSE,31,18,Si,L,14:30,5
FALSE,31,18,Si,L,14:45,7
FALSE,31,18,Si,L,15:00,4
FALSE,31,18,Si,L,15:15,8
FALSE,31,18,Si,L,15:30,8
FALSE,31,18,Si,L,15:45,5
FALSE,31,18,Si,L,16:00,6
FALSE,31,18,Si,L,16:15,4
FALSE,31,18,Si,L,16:30,8
FALSE,31,18,Si,L,16:45,9
FALSE,31,18,Si,L,17:00,10
FALSE,31,18,Si,L,17:15,10
FALSE,31,18,Si,L,17:30,7
FALSE,31,18,Si,L,17:45,13
FALSE,31,18,Si,L,18:00,8
FALSE,31,18,Si,L,18:15,14
FALSE,31,18,Si,L,18:30,8
FALSE,31,18,Si,L,18:45,8
FALSE,31,18,Si,L,19:00,9
FALSE,31,18,Si,L,19:15,13
FALSE,31,18,Si,L,19:30,12
FALSE,31,18,Si,L,19:45,11
FALSE,31,18,Si,L,20:00,11
FALSE,31,18,Si,L,20:15,13
FALSE,31,18,Si,L,20:30,7
FALSE,31,18,Si,L,20:45,10
FALSE,31,18,Si,L,21:00,6
FALSE,31,18,Si,L,21:15,9
FALSE,31,18,Si,L,21:30,7
FALSE,31,18,Si,L,21:45,4
FALSE,31,18,Si,L,22:00,4
FALSE,31,18,Si,L,22:15,3
FALSE,31,18,Si,L,22:30,6
FALSE,31,18,Si,L,22:45,3
FALSE,31,18,Si,L,23:00,2
FALSE,31,18,Si,L,23:15,4
FALSE,31,18,Si,L,23:30,3
FALSE,31,18,Si,L,23:45,2
FALSE,32,17,Si,L,07:15,3
FALSE,32,17,Si,L,07:45,2
FALSE,32,17,Si,L,08:00,3
FALSE,32,17,Si,L,08:15,3
FALSE,32,17,Si,L,08:30,3
FALSE,32,17,Si,L,09:15,3
FALSE,32,17,Si,L,09:30,4
FALSE,32,17,Si,L,09:45,3
FALSE,32,17,Si,L,10:00,5
FALSE,32,17,Si,L,10:15,3
FALSE,32,17,Si,L,10:30,5
FALSE,32,17,Si,L,10:45,4
FALSE,32,17,Si,L,11:00,4
FALSE,32,17,Si,L,11:15,5
FALSE,32,17,Si,L,11:30,3
FALSE,32,17,Si,L,11:45,6
FALSE,32,17,Si,L,12:00,3
FALSE,32,17,Si,L,12:15,4
FALSE,32,17,Si,L,12:30,4
FALSE,32,17,Si,L,12:45,4
FALSE,32,17,Si,L,13:00,7
FALSE,32,17,Si,L,13:15,8
FALSE,32,17,Si,L,13:30,12
FALSE,32,17,Si,L,13:45,7
FALSE,32,17,Si,L,14:00,9
FALSE,32,17,Si,L,14:15,10
FALSE,32,17,Si,L,14:30,9
FALSE,32,17,Si,L,14:45,7
FALSE,32,17,Si,L,15:00,5
FALSE,32,17,Si,L,15:15,7
FALSE,32,17,Si,L,15:30,7
FALSE,32,17,Si,L,15:45,5
FALSE,32,17,Si,L,16:00,4
FALSE,32,17,Si,L,16:15,5
FALSE,32,17,Si,L,16:30,5
FALSE,32,17,Si,L,16:45,8
FALSE,32,17,Si,L,17:00,10
FALSE,32,17,Si,L,17:15,7
FALSE,32,17,Si,L,17:30,9
FALSE,32,17,Si,L,17:45,7
FALSE,32,17,Si,L,18:00,8
FALSE,32,17,Si,L,18:15,9
FALSE,32,17,Si,L,18:30,6
FALSE,32,17,Si,L,18:45,11
FALSE,32,17,Si,L,19:00,11
FALSE,32,17,Si,L,19:15,7
FALSE,32,17,Si,L,19:30,14
FALSE,32,17,Si,L,19:45,10
FALSE,32,17,Si,L,20:00,14
FALSE,32,17,Si,L,20:15,12
FALSE,32,17,Si,L,20:30,7
FALSE,32,17,Si,L,20:45,9
FALSE,32,17,Si,L,21:00,6
FALSE,32,17,Si,L,21:15,6
FALSE,32,17,Si,L,21:30,7
FALSE,32,17,Si,L,21:45,3
FALSE,32,17,Si,L,22:00,5
FALSE,32,17,Si,L,22:15,4
FALSE,32,17,Si,L,22:30,0
FALSE,32,17,Si,L,22:45,5
FALSE,32,17,Si,L,23:00,2
FALSE,32,17,Si,L,23:15,4
FALSE,32,17,Si,L,23:30,3
FALSE,32,17,Si,L,23:45,2
FALSE,33,19,Si,L,07:00,6
FALSE,33,19,Si,L,07:15,3
FALSE,33,19,Si,L,07:30,3
FALSE,33,19,Si,L,07:45,0
FALSE,33,19,Si,L,08:00,2
FALSE,33,19,Si,L,08:30,3
FALSE,33,19,Si,L,08:45,5
FALSE,33,19,Si,L,09:00,2
FALSE,33,19,Si,L,09:15,5
FALSE,33,19,Si,L,09:30,4
FALSE,33,19,Si,L,09:45,5
FALSE,33,19,Si,L,10:00,4
FALSE,33,19,Si,L,10:15,3
FALSE,33,19,Si,L,10:30,4
FALSE,33,19,Si,L,10:45,4
FALSE,33,19,Si,L,11:00,5
FALSE,33,19,Si,L,11:15,4
FALSE,33,19,Si,L,11:30,6
FALSE,33,19,Si,L,11:45,5
FALSE,33,19,Si,L,12:00,5
FALSE,33,19,Si,L,12:15,6
FALSE,33,19,Si,L,12:30,4
FALSE,33,19,Si,L,12:45,4
FALSE,33,19,Si,L,13:00,7
FALSE,33,19,Si,L,13:15,5
FALSE,33,19,Si,L,13:30,13
FALSE,33,19,Si,L,13:45,10
FALSE,33,19,Si,L,14:00,13
FALSE,33,19,Si,L,14:15,7
FALSE,33,19,Si,L,14:30,7
FALSE,33,19,Si,L,14:45,8
FALSE,33,19,Si,L,15:00,5
FALSE,33,19,Si,L,15:15,4
FALSE,33,19,Si,L,15:30,4
FALSE,33,19,Si,L,15:45,4
FALSE,33,19,Si,L,16:00,4
FALSE,33,19,Si,L,16:15,6
FALSE,33,19,Si,L,16:30,5
FALSE,33,19,Si,L,16:45,4
FALSE,33,19,Si,L,17:00,10
FALSE,33,19,Si,L,17:15,11
FALSE,33,19,Si,L,17:30,9
FALSE,33,19,Si,L,17:45,8
FALSE,33,19,Si,L,18:00,12
FALSE,33,19,Si,L,18:15,13
FALSE,33,19,Si,L,18:30,13
FALSE,33,19,Si,L,18:45,11
FALSE,33,19,Si,L,19:00,9
FALSE,33,19,Si,L,19:15,8
FALSE,33,19,Si,L,19:30,12
FALSE,33,19,Si,L,19:45,8
FALSE,33,19,Si,L,20:00,13
FALSE,33,19,Si,L,20:15,8
FALSE,33,19,Si,L,20:30,8
FALSE,33,19,Si,L,20:45,8
FALSE,33,19,Si,L,21:00,9
FALSE,33,19,Si,L,21:15,7
FALSE,33,19,Si,L,21:30,5
FALSE,33,19,Si,L,21:45,3
FALSE,33,19,Si,L,22:00,5
FALSE,33,19,Si,L,22:15,6
FALSE,33,19,Si,L,22:30,3
FALSE,33,19,Si,L,22:45,4
FALSE,33,19,Si,L,23:00,0
FALSE,33,19,Si,L,23:15,2
FALSE,33,19,Si,L,23:30,3
FALSE,33,19,Si,L,23:45,3
FALSE,33,18,Si,V,07:15,4
FALSE,33,18,Si,V,07:30,3
FALSE,33,18,Si,V,08:15,4
FALSE,33,18,Si,V,08:30,0
FALSE,33,18,Si,V,08:45,2
FALSE,33,18,Si,V,09:15,8
FALSE,33,18,Si,V,09:30,4
FALSE,33,18,Si,V,09:45,5
FALSE,33,18,Si,V,10:00,4
FALSE,33,18,Si,V,10:15,5
FALSE,33,18,Si,V,10:30,4
FALSE,33,18,Si,V,10:45,4
FALSE,33,18,Si,V,11:00,5
FALSE,33,18,Si,V,11:15,5
FALSE,33,18,Si,V,11:30,5
FALSE,33,18,Si,V,11:45,5
FALSE,33,18,Si,V,12:00,3
FALSE,33,18,Si,V,12:15,3
FALSE,33,18,Si,V,12:30,6
FALSE,33,18,Si,V,12:45,6
